Name,Soundex,Frequency
Mole,M400,8
Mullins,M452,8
Naish,N200,8
Newell,N400,8
Nunn,N500,8
Oakes,O220,8
Pacey,P200,8
Partington,P635,8
Pattison,P325,8
Penn,P500,8
Perrin,P650,8
Pilling,P452,8
Pink,P520,8
Reay,R000,8
Riches,R220,8
Ridley,R340,8
Robbins,R152,8
Rogerson,R262,8
Rudd,R300,8
Rymer,R560,8
Salisbury,S421,8
Seed,S300,8
Shackleton,S243,8
Shelton,S435,8
Shipley,S140,8
Simons,S552,8
Smethurst,S536,8
Solomons,S455,8
Sowden,S350,8
Spink,S152,8
Stapleton,S314,8
Storr,S360,8
Strange,S365,8
Sunderland,S536,8
Swindells,S534,8
Tasker,T260,8
Thorogood,T623,8
Townshend,T525,8
Tunstall,T523,8
Veal,V400,8
Wain,W500,8
Waite,W300,8
Warwick,W620,8
Wheeldon,W435,8
Whitby,W310,8
Whiteside,W323,8
Whitton,W350,8
Wilcox,W422,8
Wiles,W420,8
Winterbottom,W536,8
Ackroyd,A263,7
Ashby,A210,7
Austen,A235,7
Avery,A160,7
Bagshaw,B200,7
Baines,B520,7
Bamford,B516,7
Barraclough,B624,7
Barrell,B640,7
Batchelor,B324,7
Bath,B300,7
Batt,B300,7
Bawden,B350,7
Bear,B600,7
Beardmore,B635,7
Beecroft,B261,7
Benham,B550,7
Benn,B500,7
Benton,B535,7
Bibby,B100,7
Bilton,B435,7
Bloomfield,B451,7
Blythe,B430,7
Booker,B260,7
Boswell,B240,7
Brand,B653,7
Britton,B635,7
Buckingham,B252,7
Budd,B300,7
Bunting,B535,7
Burch,B620,7
Burrell,B640,7
Butterfield,B361,7
Carroll,C640,7
Carruthers,C636,7
Chapple,C140,7
Chester,C236,7
Clapham,C415,7
Clement,C455,7
Close,C420,7
Collett,C430,7
Collyer,C460,7
Coombes,C512,7
Cornwell,C654,7
Cresswell,C624,7
Critchley,C632,7
Croucher,C626,7
Crow,C600,7
Cryer,C660,7
Cunliffe,C541,7
Curry,C600,7
Dakin,D250,7
Darnell,D654,7
Deighton,D235,7
Dennison,D525,7
Dewhurst,D623,7
Doe,D000,7
Dove,D100,7
Dowson,D250,7
Duffield,D143,7
Dunford,D516,7
Elliot,E430,7
Fairclough,F624,7
Farley,F640,7
Fell,F400,7
Fielder,F436,7
Foulds,F432,7
Frampton,F651,7
Freestone,F623,7
Gartside,G632,7
Gibbins,G152,7
Giddings,G352,7
Glynn,G450,7
Goldsworthy,G432,7
Goodfellow,G314,7
Gower,G600,7
Grace,G620,7
Grainger,G652,7
Greenfield,G651,7
Grove,G610,7
Haddon,H350,7
Hadley,H340,7
Hancox,H522,7
Hands,H532,7
Hardwick,H632,7
Harland,H645,7
Hastings,H235,7
Hawke,H200,7
Hay,H000,7
Hayhurst,H623,7
Hayton,H350,7
Hearn,H650,7
Higgs,H200,7
Hinchliffe,H524,7
Hine,H500,7
Holbrook,H416,7
Holroyd,H463,7
Hornby,H651,7
Horsfield,H621,7
Hoskin,H250,7
Hoult,H430,7
House,H200,7
Illingworth,I452,7
Irwin,I650,7
Isaac,I220,7
Kennedy,K530,7
Kenney,K500,7
Laws,L200,7
Leather,L360,7
Legg,L200,7
Levitt,L130,7
Lingard,L526,7
Lomax,L520,7
Lonsdale,L523,7
Main,M500,7
Manley,M540,7
Martindale,M635,7
Maughan,M250,7
Maxwell,M240,7
McGuire,M260,7
Merrill,M640,7
Midgley,M324,7
Millington,M452,7
Milton,M435,7
Moseley,M240,7
Moses,M220,7
Nightingale,N235,7
Oddy,O300,7
Pease,P200,7
Perks,P620,7
Petty,P300,7
Pointer,P536,7
Pollitt,P430,7
Pullen,P450,7
Ratcliff,R324,7
Rathbone,R315,7
Reece,R200,7
Renshaw,R520,7
Revell,R140,7
Rock,R200,7
Rolfe,R410,7
Rook,R200,7
Rouse,R200,7
Rowlands,R453,7
Rudkin,R325,7
Rule,R400,7
Ryder,R360,7
Ryley,R400,7
Sayer,S600,7
Scholefield,S241,7
Seward,S630,7
Sharman,S655,7
Sheldon,S435,7
Shires,S620,7
Sibley,S140,7
Simms,S520,7
Southwood,S330,7
Spence,S152,7
Spinks,S152,7
Statham,S335,7
Stocks,S320,7
Strickland,S362,7
Swaine,S500,7
Swales,S420,7
Swallow,S400,7
Temple,T514,7
Thornley,T654,7
Thurston,T623,7
Tomkins,T525,7
Topping,T152,7
Townley,T540,7
Trueman,T655,7
Tucker,T260,7
Valentine,V453,7
Vivian,V150,7
Waddington,W352,7
Wagstaff,W231,7
Whale,W400,7
Whittingham,W352,7
Wilde,W430,7
Willetts,W432,7
Winn,W500,7
Winstanley,W523,7
Wiseman,W255,7
Wynn,W500,7
Youngs,Y520,7
Adcock,A322,6
Almond,A455,6
Ambrose,A516,6
